month,department,category,budget,actual,variance
2026-04-01,Marketing,Facilities,5184,5224,40
2026-04-01,Marketing,Training,2592,2380,-212
2026-04-01,Marketing,Other,1728,1453,-275
2026-04-01,R&D,Salaries & Wages,29808,36674,6866
2026-04-01,R&D,Software & Cloud,10368,14926,4558
2026-04-01,R&D,Contractors,7776,9378,1602
2026-04-01,R&D,Travel & Events,5184,5260,76
2026-04-01,R&D,Marketing Programs,4536,5105,569
2026-04-01,R&D,Facilities,3888,4125,237
2026-04-01,R&D,Training,1944,2356,412
2026-04-01,R&D,Other,1296,1310,14
2026-04-01,Operations,Salaries & Wages,47196,44605,-2591
2026-04-01,Operations,Software & Cloud,16416,18761,2345
2026-04-01,Operations,Contractors,12312,13248,936
2026-04-01,Operations,Travel & Events,8208,7703,-505
2026-04-01,Operations,Marketing Programs,7182,7152,-30
2026-04-01,Operations,Facilities,6156,6138,-18
2026-04-01,Operations,Training,3078,3162,84
2026-04-01,Operations,Other,2052,1823,-229
2026-04-01,G&A,Salaries & Wages,19872,19086,-786
2026-04-01,G&A,Software & Cloud,6912,7314,402
2026-04-01,G&A,Contractors,5184,5420,236
2026-04-01,G&A,Travel & Events,3456,3094,-362
2026-04-01,G&A,Marketing Programs,3024,2667,-357
2026-04-01,G&A,Facilities,2592,2396,-196
2026-04-01,G&A,Training,1296,1240,-56
2026-04-01,G&A,Other,864,847,-17
2026-04-01,Customer Success,Salaries & Wages,24840,26190,1350
2026-04-01,Customer Success,Software & Cloud,8640,12333,3693
2026-04-01,Customer Success,Contractors,6480,8828,2348
2026-04-01,Customer Success,Travel & Events,4320,3998,-322
2026-04-01,Customer Success,Marketing Programs,3780,4100,320
2026-04-01,Customer Success,Facilities,3240,4136,896
2026-04-01,Customer Success,Training,1620,1772,152
2026-04-01,Customer Success,Other,1080,1202,122
2026-05-01,Sales,Salaries & Wages,59616,67119,7503
2026-05-01,Sales,Software & Cloud,20736,26316,5580
2026-05-01,Sales,Contractors,15552,18905,3353
2026-05-01,Sales,Travel & Events,10368,10521,153
2026-05-01,Sales,Marketing Programs,9072,10490,1418
2026-05-01,Sales,Facilities,7776,8655,879
2026-05-01,Sales,Training,3888,4101,213
2026-05-01,Sales,Other,2592,2749,157
2026-05-01,Marketing,Salaries & Wages,39744,35663,-4081
2026-05-01,Marketing,Software & Cloud,13824,13560,-264
2026-05-01,Marketing,Contractors,10368,9969,-399
2026-05-01,Marketing,Travel & Events,6912,6092,-820
2026-05-01,Marketing,Marketing Programs,6048,5397,-651
2026-05-01,Marketing,Facilities,5184,4809,-375
2026-05-01,Marketing,Training,2592,2264,-328
2026-05-01,Marketing,Other,1728,1561,-167
2026-05-01,R&D,Salaries & Wages,29808,34610,4802
2026-05-01,R&D,Software & Cloud,10368,13695,3327
2026-05-01,R&D,Contractors,7776,10284,2508
2026-05-01,R&D,Travel & Events,5184,5229,45
2026-05-01,R&D,Marketing Programs,4536,5579,1043
2026-05-01,R&D,Facilities,3888,4558,670
2026-05-01,R&D,Training,1944,2066,122
2026-05-01,R&D,Other,1296,1472,176
2026-05-01,Operations,Salaries & Wages,47196,45771,-1425
2026-05-01,Operations,Software & Cloud,16416,19251,2835
2026-05-01,Operations,Contractors,12312,12864,552
2026-05-01,Operations,Travel & Events,8208,8168,-40
2026-05-01,Operations,Marketing Programs,7182,6714,-468
2026-05-01,Operations,Facilities,6156,5425,-731
2026-05-01,Operations,Training,3078,2827,-251
2026-05-01,Operations,Other,2052,1837,-215
2026-05-01,G&A,Salaries & Wages,19872,19032,-840
2026-05-01,G&A,Software & Cloud,6912,8132,1220
2026-05-01,G&A,Contractors,5184,5588,404
2026-05-01,G&A,Travel & Events,3456,2817,-639
2026-05-01,G&A,Marketing Programs,3024,2690,-334
2026-05-01,G&A,Facilities,2592,2769,177
2026-05-01,G&A,Training,1296,1205,-91
2026-05-01,G&A,Other,864,830,-34
2026-05-01,Customer Success,Salaries & Wages,24840,29111,4271
2026-05-01,Customer Success,Software & Cloud,8640,12662,4022
2026-05-01,Customer Success,Contractors,6480,8321,1841
2026-05-01,Customer Success,Travel & Events,4320,4409,89
2026-05-01,Customer Success,Marketing Programs,3780,4120,340
2026-05-01,Customer Success,Facilities,3240,3698,458
2026-05-01,Customer Success,Training,1620,1632,12
2026-05-01,Customer Success,Other,1080,1115,35
